metadata_qid,question,metadata_question,metadata_gold_answer
6093,"{'question': 'when did the morning after pill come out', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Birth control movement in the United States: In 1997, the FDA approved a prescription emergency contraception pill (known as the morning-after pill), which became available over the counter in 2006.\nQuestion: when did the morning after pill come out\nAre follow up questions needed here: No.\nSo the final answer is: 1997'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1997'}]], 'traces_entailments': None}",when did the morning after pill come out,['October 1984']
7429,"{'question': 'when was the national highway traffic safety administration established', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: National Highway Traffic Safety Administration: Congress established NHTSA in 1970 with the Highway Safety Act of 1970 (Title II of Pub. L. 91–605, 84 Stat. 1713, enacted December 31, 1970, at 84 Stat.\nQuestion: when was the national highway traffic safety administration established\nAre follow up questions needed here: No.\nSo the final answer is: 1970'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1970'}]], 'traces_entailments': None}",when was the national highway traffic safety administration established,"['December 31 , 1970']"
2087,"{'question': 'who plays young ethan in a dogs purpose', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Bryce Gheisar: Bryce Gheisar as eight-year-old Ethan Montgomery, a young boy interested in comics and football.\nQuestion: who plays young ethan in a dogs purpose\nAre follow up questions needed here: No.\nSo the final answer is: Bryce Gheisar'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Bryce Gheisar'}]], 'traces_entailments': None}",who plays young ethan in a dogs purpose,"['KJ Apa', 'Bryce Gheisar']"
7929,"{'question': 'who played the role of shahid khan in gangs of wasseypur', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Jaideep Ahlawat: Jaideep Ahlawat as Shahid Khan, the patriarch of the Khan family; Sardar's father; Nagma and Durga's father-in-law; Danish, Faizal, Perpendicular, Definite's grandfather, Mohsina and Shama's grandfather in law; Feroz's great grandfather.\nQuestion: who played the role of shahid khan in gangs of wasseypur\nAre follow up questions needed here: No.\nSo the final answer is: Jaideep Ahlawat""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jaideep Ahlawat'}]], 'traces_entailments': None}",who played the role of shahid khan in gangs of wasseypur,['Jaideep Ahlawat']
2226,"{'question': 'where does winterbourne take daisy on their first date', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Daisy Miller: Annie ""Daisy"" Miller and Frederick Winterbourne first meet in Vevey, Switzerland, in a garden of the grand hotel, where Winterbourne is allegedly vacationing\nQuestion: where does winterbourne take daisy on their first date\nAre follow up questions needed here: No.\nSo the final answer is: the grand hotel'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'the grand hotel'}]], 'traces_entailments': None}",where does winterbourne take daisy on their first date,['Château de Chillon']
6329,"{'question': 'how did the hadean eon get its name', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Hadean: The term was coined by American geologist Preston Cloud, after the Greek mythical underworld Hades, originally to label the period before the earliest-known rocks on Earth.\nQuestion: how did the hadean eon get its name\nAre follow up questions needed here: No.\nSo the final answer is: after the greek mythical underworld Hades'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'after the greek mythical underworld Hades'}]], 'traces_entailments': None}",how did the hadean eon get its name,['Hades']
2998,"{'question': 'what was the last episode of transformers g1', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: List of The Transformers episodes: This is a list containing the episodes of The Transformers, an animated television series depicting a war among the Autobots and Decepticons who could\nQuestion: what was the last episode of transformers g1\nAre follow up questions needed here: No.\nSo the final answer is: ""The Rebirth""'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '""The Rebirth""'}]], 'traces_entailments': None}",what was the last episode of transformers g1,"[""`` B.O.T. ''""]"
2528,"{'question': 'who is the voice in the belko experiment', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: The Belko Experiment: It stars John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley, Melonie Diaz, Josh Brener, and Michael Rooker. The film follows eighty Americans\nQuestion: who is the voice in the belko experiment\nAre follow up questions needed here: No.\nSo the final answer is: John Gallagher Jr.'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'John Gallagher Jr.'}]], 'traces_entailments': None}",who is the voice in the belko experiment,['Gregg Henry']
5095,"{'question': ""who wrote michael jackson 's man in the mirror"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Man in the Mirror: ""Man in the Mirror"" is a song by the American singer-songwriter Michael Jackson. It was written by Glen Ballard and Siedah Garrett and produced by Jackson\nQuestion: who wrote michael jackson \'s man in the mirror\nAre follow up questions needed here: No.\nSo the final answer is: Glen Ballard and Siedah Garrett'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Glen Ballard and Siedah Garrett'}]], 'traces_entailments': None}",who wrote michael jackson 's man in the mirror,"['Siedah Garrett', 'Glen Ballard']"
3744,"{'question': 'who is the author of series of unfortunate events', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: author Daniel Handler: A Series of Unfortunate Events is an American black comedy drama streaming television series based on the book series of the same name by Lemony Snicket (the pen name of American author Daniel Handler) for Netflix.\nQuestion: who is the author of series of unfortunate events\nAre follow up questions needed here: No.\nSo the final answer is: Daniel Handler'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Daniel Handler'}]], 'traces_entailments': None}",who is the author of series of unfortunate events,['Daniel Handler']
4090,"{'question': 'how many houses are in the british parliament', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Parliament of the United Kingdom: While Parliament is bicameral, it has three parts, consisting of the sovereign (King-in-Parliament), the House of Lords, and the House of Commons.\nQuestion: how many houses are in the british parliament\nAre follow up questions needed here: No.\nSo the final answer is: 3'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '3'}]], 'traces_entailments': None}",how many houses are in the british parliament,['two']
3112,"{'question': 'who plays the daughter in garage sale mysteries', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Garage Sale Mystery: The Deadly Room - IMDb: Eva Bourne takes over the role of Jennifer's daughter, Hannah. Hannah was previously portrayed by Sara Canning.\nQuestion: who plays the daughter in garage sale mysteries\nAre follow up questions needed here: No.\nSo the final answer is: Eva Bourne""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Eva Bourne'}]], 'traces_entailments': None}",who plays the daughter in garage sale mysteries,['Eva Bourne']
2599,"{'question': 'who did the allies decided to focus on defeating first after pearl harbor', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Allies of World War II: The Allies, formally referred to as the United Nations from 1942, were an international military coalition formed during the Second World War (1939–1945) to\nQuestion: who did the allies decided to focus on defeating first after pearl harbor\nAre follow up questions needed here: No.\nSo the final answer is: Japan'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Japan'}]], 'traces_entailments': None}",who did the allies decided to focus on defeating first after pearl harbor,['Nazi Germany']
3223,"{'question': 'how old do you have to be to get a tattoo in washington', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Tattooing a Minor in Washington: “Every person who applies a tattoo to any minor under the age of eighteen is guilty of a [crime].” For purposes of this statute, “tattoo” includes: Any permanent marking or coloring of the skin with any pigment, ink, or dye, or. Any procedure that leaves a visible scar on the skin.\nQuestion: how old do you have to be to get a tattoo in washington\nAre follow up questions needed here: No.\nSo the final answer is: 18'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '18'}]], 'traces_entailments': None}",how old do you have to be to get a tattoo in washington,['18']
6364,"{'question': 'winner of the fillies triple crown in 1985 crossword clue', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Oh So Sharp: Oh So Sharp (1982–2001) was an Irish-bred, British-trained Thoroughbred racehorse best known for winning the English Fillies' Triple Crown in 1985.\nQuestion: winner of the fillies triple crown in 1985 crossword clue\nAre follow up questions needed here: No.\nSo the final answer is: Oh So Sharp""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Oh So Sharp'}]], 'traces_entailments': None}",winner of the fillies triple crown in 1985 crossword clue,['Oh So Sharp']
7909,"{'question': 'in which history age was the use of stone started', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Paleolithic: ""Palaeolithic"" means ""Old Stone Age"", and begins with the first use of stone tools. The Paleolithic is the earliest period of the Stone Age. It extends from the earliest known use of stone tools by hominins c. 3.3 million years ago, to the end of the Pleistocene c.\nQuestion: in which history age was the use of stone started\nAre follow up questions needed here: No.\nSo the final answer is: Paleolithic'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Paleolithic'}]], 'traces_entailments': None}",in which history age was the use of stone started,['The Stone Age']
1288,"{'question': 'how do the royal family make their money', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: British royal family: Senior members of the royal family, who represent the monarch, draw their income from public funds known as the sovereign grant. The sovereign grant is an annual payment of the British government to the monarch. It comes from the revenues of the Crown Estate, which are commercial properties owned by the Crown.\nQuestion: how do the royal family make their money\nAre follow up questions needed here: No.\nSo the final answer is: the sovereign grant'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'the sovereign grant'}]], 'traces_entailments': None}",how do the royal family make their money,['hereditary revenues of the Crown']
6909,"{'question': 'what was the population of india in 1950', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Demographics of India: According to the UN's World Population dashboard, India's population now stands at slightly over 1.428 billion, edging past China's population of 1.425 billion\nQuestion: what was the population of india in 1950\nAre follow up questions needed here: No.\nSo the final answer is: 361 million""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '361 million'}]], 'traces_entailments': None}",what was the population of india in 1950,"['361,088,090']"
776,"{'question': 'when did china remove the one child policy', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: One-child policy | Definition, Start Date, Effects, & Facts: The end of China's one-child policy was announced in late 2015, and it formally ended in 2016. Beginning in 2016, the Chinese government allowed all families to have two children, and in 2021 all married couples were permitted to have as many as three children.\nQuestion: when did china remove the one child policy\nAre follow up questions needed here: No.\nSo the final answer is: 2016""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2016'}]], 'traces_entailments': None}",when did china remove the one child policy,['October 2015']
1703,"{'question': 'who died in the movie fast and furious 7', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Paul Walker: Furious 7 marked the final film performance of Paul Walker, who died in a car crash in 2013.\nQuestion: who died in the movie fast and furious 7\nAre follow up questions needed here: No.\nSo the final answer is: Paul Walker'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Paul Walker'}]], 'traces_entailments': None}",who died in the movie fast and furious 7,['Han']
1788,"{'question': ""who sings do n 't tell me what to do"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Don\'t Tell Me What to Do: ""Don\'t Tell Me What to Do"" is a song written by Harlan Howard and Max D. Barnes, and recorded by the American country music artist Pam Tillis. Her breakthrough single, it was released in December 1990 as the first single from the album Put Yourself in My Place.\nQuestion: who sings do n \'t tell me what to do\nAre follow up questions needed here: No.\nSo the final answer is: Pam Tillis'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Pam Tillis'}]], 'traces_entailments': None}",who sings do n 't tell me what to do,['Lesley Gore']
634,"{'question': 'when did the old age pension start in canada', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Old Age Security: The Old Age Security (OAS) program is a universal retirement pension available to most residents and citizens of Canada who have reached 65 years old.\nQuestion: when did the old age pension start in canada\nAre follow up questions needed here: No.\nSo the final answer is: 1952'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1952'}]], 'traces_entailments': None}",when did the old age pension start in canada,['1965']
8398,"{'question': 'there are two parts to the fourth amendment the reasonableness clause and the', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Fourth Amendment to the United States Constitution: The Fourth Amendment (Amendment IV) to the United States Constitution is part of the Bill of Rights. It prohibits unreasonable searches and seizures.\nQuestion: there are two parts to the fourth amendment the reasonableness clause and the\nAre follow up questions needed here: No.\nSo the final answer is: the warrant clause'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'the warrant clause'}]], 'traces_entailments': None}",there are two parts to the fourth amendment the reasonableness clause and the,['probable cause']
4183,"{'question': 'who has won the most mvp awards in basketball', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: NBA Most Valuable Player Award: Giannis Antetokounmpo won back to back MVP awards in 2018–19 and 2019–20. He became the first player to win League MVP and the NBA Most Improved Player award.\nQuestion: who has won the most mvp awards in basketball\nAre follow up questions needed here: No.\nSo the final answer is: Kareem Abdul-Jabbar'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Kareem Abdul-Jabbar'}]], 'traces_entailments': None}",who has won the most mvp awards in basketball,['Kareem Abdul - Jabbar']
3909,"{'question': 'when did nigeria change its currency from pounds to naira', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 1 January 1973: The naira was introduced on 1 January 1973, replacing the Nigerian pound at a rate of £1 = ₦2.\nQuestion: when did nigeria change its currency from pounds to naira\nAre follow up questions needed here: No.\nSo the final answer is: 1 January 1973'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1 January 1973'}]], 'traces_entailments': None}",when did nigeria change its currency from pounds to naira,['1 January 1973']
6420,"{'question': 'who did tom brady play for in college football', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Tom Brady: [['No. 12'], ['College:', 'Michigan (1995–1999)'], ['NFL Draft:', '2000 / Round: 6 / Pick: 199'], ['Career history'], ['New England Patriots (2000–2019) Tampa Bay Buccaneers (2020–2022)']]\nQuestion: who did tom brady play for in college football\nAre follow up questions needed here: No.\nSo the final answer is: Michigan""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Michigan'}]], 'traces_entailments': None}",who did tom brady play for in college football,['Michigan']
4213,"{'question': ""who won s5 of rupaul 's drag race"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Jinkx Monsoon: Jinkx Monsoon won RuPaul's Drag Race season 5. Alaska and Roxxxy Andrews were the runners-up. Ivy Winters was voted Miss Congeniality (Miss C) by viewers.\nQuestion: who won s5 of rupaul 's drag race\nAre follow up questions needed here: No.\nSo the final answer is: Jinkx Monsoon""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jinkx Monsoon'}]], 'traces_entailments': None}",who won s5 of rupaul 's drag race,['Jinkx Monsoon']
6898,"{'question': 'what is the full form of g p s', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Global Positioning System: Global Positioning System - Wikipedia.\nQuestion: what is the full form of g p s\nAre follow up questions needed here: No.\nSo the final answer is: Global Positioning System'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Global Positioning System'}]], 'traces_entailments': None}",what is the full form of g p s,['Global Positioning System']
8048,"{'question': 'what kind of stores are walmart and target', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Big-box store: Commercially, big-box stores can be broken down into two categories: general merchandise (examples include Walmart, Target, and Kmart), and specialty stores (such as The Home Depot, Barnes & Noble, or Best Buy), which specialize in goods within a specific range, such as hardware, books, or consumer electronics,\nQuestion: what kind of stores are walmart and target\nAre follow up questions needed here: No.\nSo the final answer is: general merchandise'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'general merchandise'}]], 'traces_entailments': None}",what kind of stores are walmart and target,['big - box stores']
4810,"{'question': 'who has the longest playoff drought in the nba', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: List of NBA franchise post-season droughts: The longest a franchise has gone without appearing in the playoffs at all is 16 seasons: the Kings franchise from 2006 to 2023.\nQuestion: who has the longest playoff drought in the nba\nAre follow up questions needed here: No.\nSo the final answer is: Sacramento Kings'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Sacramento Kings'}]], 'traces_entailments': None}",who has the longest playoff drought in the nba,['Minnesota Timberwolves']
8524,"{'question': 'when did the british parliament pass the townshend acts', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 29 June 1767: This act was passed on 29 June 1767. It created a new Customs Board for the North American colonies, to be headquartered in Boston with five customs commissioners. New offices were eventually opened in other ports as well. The board was created to enforce shipping regulations and increase tax revenue.\nQuestion: when did the british parliament pass the townshend acts\nAre follow up questions needed here: No.\nSo the final answer is: 29 June 1767'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '29 June 1767'}]], 'traces_entailments': None}",when did the british parliament pass the townshend acts,['beginning in 1767']
2877,"{'question': 'when does my friend dahmer movie come out to theaters', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: My Friend Dahmer (film): My Friend Dahmer premiered at the 2017 Tribeca Film Festival on April 21, 2017. On May 15, 2017, FilmRise acquired distribution rights to the film, planning to release it in the fall. The film was released in limited theaters on November 3, 2017, with a wider release the following month.\nQuestion: when does my friend dahmer movie come out to theaters\nAre follow up questions needed here: No.\nSo the final answer is: November 3, 2017'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'November 3, 2017'}]], 'traces_entailments': None}",when does my friend dahmer movie come out to theaters,['release it in the fall']
1128,"{'question': 'when did ford stop using the 7.3-liter diesel', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Ford Power Stroke engine: The 7.3 L (444 cu in) Power Stroke was replaced by the 6.0 L (365 cu in) beginning in the second quarter of the 2003 model year.\nQuestion: when did ford stop using the 7.3-liter diesel\nAre follow up questions needed here: No.\nSo the final answer is: 2003'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '2003'}]], 'traces_entailments': None}",when did ford stop using the 7.3-liter diesel,['2003']
2073,"{'question': ""what was spike 's son 's name in tom and jerry"", 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Tyke: In 1949's Love That Pup, Spike was given a puppy son, Tyke, who became another popular supporting character in the Tom and Jerry cartoons.\nQuestion: what was spike 's son 's name in tom and jerry\nAre follow up questions needed here: No.\nSo the final answer is: Tyke""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Tyke'}]], 'traces_entailments': None}",what was spike 's son 's name in tom and jerry,['Tyke']
3745,"{'question': 'when was the first airline meal served during a flight', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Airline meal: The first airline meals were served by Handley Page Transport, an airline company founded in 1919, to serve the London–Paris route in October of that year. Passengers could choose from a selection of sandwiches and fruit.\nQuestion: when was the first airline meal served during a flight\nAre follow up questions needed here: No.\nSo the final answer is: 1919'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1919'}]], 'traces_entailments': None}",when was the first airline meal served during a flight,['1919']
7856,"{'question': 'when did the farm security administration hire a group of photographers', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: The Farm Security Administration Photo Project: Overview: The Farm Security Administration Remarkably, many of these familiar images were created by one small government agency established by Franklin Roosevelt: the Farm Security Administration (FSA). Between 1935 and 1943, FSA photographers produced nearly eighty thousand pictures of life in Depression-era America.\nQuestion: when did the farm security administration hire a group of photographers\nAre follow up questions needed here: No.\nSo the final answer is: 1935'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '1935'}]], 'traces_entailments': None}",when did the farm security administration hire a group of photographers,['1935 -- 44']
1216,"{'question': 'who was the 50s rocker who used strings on his recordings and overdubbed voices and guitars', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Eddie Cochran: Cochran was one of the first rock-and-roll artists to write his own songs and overdub tracks. He is also credited with being one of the first to use an unwound\nQuestion: who was the 50s rocker who used strings on his recordings and overdubbed voices and guitars\nAre follow up questions needed here: No.\nSo the final answer is: Eddie Cochran'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Eddie Cochran'}]], 'traces_entailments': None}",who was the 50s rocker who used strings on his recordings and overdubbed voices and guitars,['Edward Raymond Cochran']
4594,"{'question': 'what are the largest members of the plankton', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': [""\nContext1: Size groups: [['Group', 'Size range (ESD)'], ['Megaplankton', '> 20 cm'], ['Macroplankton', '2→20 cm'], ['Mesoplankton', '0.2→20 mm'], ['Microplankton', '20→200 µm']]\nQuestion: what are the largest members of the plankton\nAre follow up questions needed here: No.\nSo the final answer is: megaplankton""], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'megaplankton'}]], 'traces_entailments': None}",what are the largest members of the plankton,['jellyfish']
3482,"{'question': 'what cities are close to sugar land texas', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Sugar Land, Texas: Sugar Land is located in northeast Fort Bend County, 20 miles (32 km) southwest of downtown Houston. It is bordered by Houston to the northeast, and by Stafford, Missouri City, and Meadows Place to the east.\nQuestion: what cities are close to sugar land texas\nAre follow up questions needed here: No.\nSo the final answer is: Houston, Stafford, Missouri City, and Meadows Place'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Houston, Stafford, Missouri City, and Meadows Place'}]], 'traces_entailments': None}",what cities are close to sugar land texas,['Houston']
3344,"{'question': 'latin for dont let the bastards wear you down', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: Illegitimi non carborundum: Illegitimi non carborundum is a mock-Latin aphorism, often translated as ""Don\'t let the bastards grind you down"". The phrase itself has no meaning in Latin\nQuestion: latin for dont let the bastards wear you down\nAre follow up questions needed here: No.\nSo the final answer is: Illegitimi non carborundum'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Illegitimi non carborundum'}]], 'traces_entailments': None}",latin for dont let the bastards wear you down,['Illegitimi non carborundum']
271,"{'question': 'who was leah married to in the bible', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: patriarch Jacob: Leah (/ˈleɪ. ə/; /ˈliːə/) appears in the Hebrew Bible as one of the two wives of the Biblical patriarch Jacob.\nQuestion: who was leah married to in the bible\nAre follow up questions needed here: No.\nSo the final answer is: Jacob'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'Jacob'}]], 'traces_entailments': None}",who was leah married to in the bible,['Jacob']
1135,"{'question': 'when is data protection day celebrated each year', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: 28 January: Data Privacy Day (known in Europe as Data Protection Day) is an international event that occurs every year on 28 January. The purpose of Data Privacy Day is to raise awareness and promote privacy and data protection best practices.\nQuestion: when is data protection day celebrated each year\nAre follow up questions needed here: No.\nSo the final answer is: 28 January'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': '28 January'}]], 'traces_entailments': None}",when is data protection day celebrated each year,['28 January']
4413,"{'question': 'who does the voice for bob on bobs burgers', 'statement': {'original_statement': '', 'positive': None, 'negative': None}, 'decompositions': ['\nContext1: H. Jon Benjamin: Robert ""Bob"" Belcher, Jr. (voiced by H. Jon Benjamin) is the main character of the series. He is the son of Robert Belcher, Sr.\nQuestion: who does the voice for bob on bobs burgers\nAre follow up questions needed here: No.\nSo the final answer is: H. Jon Benjamin'], 'decompsition_steps': [[{'question': None, 'answer': None, 'google_answer': None, 'google_answer_long': None, 'entailment_result_with_input': None, 'gpt_3_ans': 'H. Jon Benjamin'}]], 'traces_entailments': None}",who does the voice for bob on bobs burgers,['H. Jon Benjamin']
